100000
0	753	0.00207526
753	1506	0.187719
1506	2259	0.554674
2259	3012	0.683554
3012	3765	0.103214
3765	4518	0.43852
4518	5271	0.110141
5271	6024	0.18128
6024	6777	0.853969
6777	7530	0.245582
7530	8283	0.138005
8283	9036	0.869686
9036	9789	0.115482
9789	10542	0.553178
10542	11295	0.722037
11295	12048	0.247932
12048	12801	0.638783
12801	13554	0.862819
13554	14307	0.594287
14307	15060	0.909268
15060	15813	0.775506
15813	16566	0.225196
16566	17319	0.784845
17319	18072	0.717246
18072	18825	0.574114
18825	19578	0.0777612
19578	20331	0.73397
20331	21084	0.593585
21084	21837	0.0414441
21837	22590	0.584002
22590	23343	0.898892
23343	24096	0.823389
24096	24849	0.851955
24849	25602	0.631214
25602	26355	0.385662
26355	27108	0.284341
27108	27861	0.285195
27861	28614	0.142705
28614	29367	0.637806
29367	30120	0.505814
30120	30873	0.673513
30873	31626	0.860653
31626	32379	0.712699
32379	33132	0.964507
33132	33885	0.140019
33885	34638	0.255593
34638	35391	0.177313
35391	36144	0.522446
36144	36897	0.909696
36897	37650	0.719901
37650	38403	0.15421
38403	39156	0.413984
39156	39909	0.973174
39909	40662	0.699759
40662	41415	0.549242
41415	42168	0.687887
42168	42921	0.386029
42921	43674	0.923704
43674	44427	0.991974
44427	45180	0.510483
45180	45933	0.983551
45933	46686	0.382366
46686	47439	0.520432
47439	48192	0.236824
48192	48945	0.792993
48945	49698	0.217109
49698	50451	0.541337
50451	51204	0.655263
51204	51957	0.924406
51957	52710	0.172582
52710	53463	0.0965911
53463	54216	0.312326
54216	54969	0.221015
54969	55722	0.770257
55722	56475	0.968078
56475	57228	0.323923
57228	57981	0.450911
57981	58734	0.85873
58734	59487	0.651234
59487	60240	0.578997
60240	60993	0.320719
60993	61746	0.697531
61746	62499	0.729423
62499	63252	0.74221
63252	64005	0.0929594
64005	64758	0.230079
64758	65511	0.679525
65511	66264	0.961394
66264	67017	0.0881375
67017	67770	0.702475
67770	68523	0.640736
68523	69276	0.686728
69276	70029	0.852748
70029	70782	0.284188
70782	71535	0.177313
71535	72288	0.507157
72288	73041	0.274697
73041	73794	0.847072
73794	74547	0.566851
74547	75300	0.410779
75300	76053	0.427259
76053	76806	0.558672
76806	77559	0.644978
77559	78312	0.375439
78312	79065	0.422529
79065	79818	0.446364
79818	80571	0.738334
80571	81324	0.695212
81324	82077	0.0562151
82077	82830	0.588366
82830	83583	0.716239
83583	84336	0.950102
84336	85089	0.524522
85089	85842	0.0879849
85842	86595	0.693106
86595	87348	0.0239875
87348	88101	0.994598
88101	88854	0.48735
88854	89607	0.412214
89607	90360	0.0780358
90360	91113	0.30961
91113	91866	0.776727
91866	92619	0.842647
92619	93372	0.88522
93372	94125	0.610218
94125	94878	0.655934
94878	95631	0.0201727
95631	96384	0.432447
96384	97137	0.152776
97137	97890	0.203925
97890	98643	0.663594
98643	99396	0.196722
99396	149	0.10654
149	902	0.61272
902	1655	0.597674
1655	2408	0.00103763
2408	3161	0.610309
3161	3914	0.142155
3914	4667	0.514023
4667	5420	0.85699
5420	6173	0.870235
6173	6926	0.951659
6926	7679	0.101138
7679	8432	0.699454
8432	9185	0.579882
9185	9938	0.964782
9938	10691	0.0748314
10691	11444	0.420789
11444	12197	0.443831
12197	12950	0.423933
12950	13703	0.14011
13703	14456	0.109409
14456	15209	0.0858486
15209	15962	0.290201
15962	16715	0.416272
16715	17468	0.900174
17468	18221	0.123386
